File name,date,Disc position,EDSar(s),error,ncf peak -1,ncf peak -2,Lx/Tx,Error,a,ae,b,be,c,ce,NCF Test dose,Machine Dose Rate (Gy/min),Machine calibration date (D-M-YYYY),Experiment date (D-M-YYYY)
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,1,261.61,20.68,47988,41334,4.464,0.195,10.1,0.489,448,36.1,0.588,0.306,40,4.702,18-12-2019,01-02-2021
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,3,265.27,19.54,66764,57902,4.349,0.157,9.96,0.446,463,33.7,0.382,0.217,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,5,384.91,33.14,68551,61737,5.447,0.21,8.25,0.304,357,24.2,0.902,0.271,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,7,279.78,11.98,74529,66326,4.962,0.142,11.8,0.472,514,31.8,0.268,0.103,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,9,246.72,18.25,52663,47549,3.918,0.199,7.95,0.329,366,27.7,1.35,0.419,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,11,221.61,8.83,74490,65055,4.411,0.139,14.9,0.726,634,44.7,0.797,0.129,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,13,259.16,18.12,90906,81934,4.39,0.184,10.5,0.519,480,38.3,0.845,0.328,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,15,281.63,19.55,45323,40478,4.271,0.173,8.4,0.352,401,29.5,2.97,0.394,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,17,262,21.9,37815,36349,4.32,0.216,8.83,0.413,391,32.4,0.561,0.39,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,19,289.56,22.26,67382,60532,4.658,0.24,9.31,0.452,419,34.7,1.3,0.491,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,21,230.24,12.26,58119,50579,4.051,0.169,11.5,0.569,533,40.8,1.01,0.275,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,25,306.12,25.12,33853,29921,4.237,0.21,7.61,0.333,385,30.8,7.03,0.701,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,27,227.01,16.04,53042,47235,3.838,0.169,9.7,0.448,452,34.9,1.03,0.317,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,29,546.77,51.63,82626,74631,6.613,0.267,8.96,0.391,409,30.8,1.14,0.347,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,31,263.28,16.41,97272,88834,4.366,0.157,8.83,0.321,386,24.7,0.398,0.203,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,33,201.93,14.04,38603,35206,3.574,0.157,11.3,0.603,533,44.1,0.0565,0.258,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,35,230.1,10.81,108636,101923,4.163,0.14,10.7,0.429,469,30.2,0.0994,0.169,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,37,322.16,22.25,60980,54546,5.264,0.197,9.96,0.429,428,31.2,0.0313,0.239,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,39,530.07,43.04,59411,54535,7.076,0.291,10.2,0.463,452,33.6,0.999,0.321,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,41,289.21,21.55,129938,105204,4.254,0.168,8.14,0.326,393,27.9,1.46,0.371,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,43,344.69,18.65,91762,76764,5.292,0.139,8.7,0.263,368,19.6,0.686,0.105,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,45,303.18,19.6,70162,60580,4.857,0.176,9.66,0.406,435,30.6,1.03,0.263,,,,
"TNLW_3_NCF_DSAR_(1,47)D_010221.binx",01-Feb-21,47,323.31,17.5,148588,133619,4.632,0.12,7.51,0.208,338,17.1,0.332,0.097,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",24-Feb-2021,3,249.41,15.8,64475,57161,3.858,0.167,8.51,0.377,417,31.8,2.21,0.412,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,5,384.58,31,59869,51169,4.879,0.171,6.82,0.231,307,20.2,0.595,0.273,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,7,281.52,16.96,61674,56347,4.71,0.178,9.92,0.414,441,30.8,2.39,0.306,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,9,254.35,13.87,89768,81828,4.051,0.14,7.89,0.267,355,21.9,1.41,0.225,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,11,256.12,22.86,58994,53111,4.24,0.201,8.65,0.388,380,30.4,0.309,0.325,,,,
"TNLW_3_NCF_DSAR_(1,47)D_211220.binx",21-Dec-2020,13,250.89,25.11,26558,24478,4.382,0.301,13.9,1.47,664,101,1.13,0.861,,,,
